,Year,Month,Sales
0,2009,12,796648.5
1,2010,1,622479.502
2,2010,2,531265.366
3,2010,3,763247.241
4,2010,4,587926.692
5,2010,5,613270.72
6,2010,6,677073.87
7,2010,7,573333.6900000001
8,2010,8,654774.39
9,2010,9,851105.961
10,2010,10,1041685.61
11,2010,11,1416697.202
12,2010,12,1122990.43
13,2011,1,558448.5599999999
14,2011,2,497026.41
15,2011,3,682013.98
16,2011,4,492367.841
17,2011,5,722094.1
18,2011,6,689977.23
19,2011,7,680156.991
20,2011,8,681386.46
21,2011,9,1017596.682
22,2011,10,1069368.23
23,2011,11,1456145.8
24,2011,12,432719.06
