Country,Sales
United Kingdom,16328820.947
EIRE,615229.06
Netherlands,548523.3
Germany,417429.891
France,327996.66
Australia,167061.57
Switzerland,99706.46
Spain,91808.16
Sweden,87775.52
Denmark,65741.09
Belgium,63554.99
Portugal,53068.2
Japan,43776.58
Channel Islands,41443.71
Norway,39243.03
Italy,30664.9
Finland,29514.45
Cyprus,24032.56
Austria,23177.6
Greece,18995.49
Hong Kong,13830.5
Singapore,13158.16
Israel,11101.37
Poland,10528.09
United Arab Emirates,9948.65
Unspecified,9678.47
Lithuania,6553.74
USA,6286.54
Iceland,5633.32
Malta,5192.22
Canada,4883.04
RSA,3369.03
Thailand,3070.54
Bahrain,2861.55
Lebanon,1865.91
Brazil,1411.87
European Community,1291.75
Bermuda,1253.1399999999999
Korea,949.82
Czech Republic,707.72
West Indies,536.41
Saudi Arabia,131.17
Nigeria,-6.659999999999996
